job,Kt,Kb,damage,stress,max_strain,min_strain,fit_x0,fit_a_cosh,fit_b,fit_a_lin,fit_c1,fit_c2,fit_r2
Kt1e+4_Kb100_stress-1000_damage0-02_evolution12_2,10000,100,0.02,-1000,0.102746,0.00200704,8.000642502,1.107776649,0.001500369,0.067084244,3.066476499,12.93159512,0.99987875
Kt1e+4_Kb0-8_stress-1000_damage0-02_evolution12,10000,0.8,0.02,-1000,0.353371,0.263945,8.000006167,6.845197688,0.262785226,0.058187565,1.992447968,14.00734295,0.993229035
Kt1e+4_Kb1_stress-1000_damage0-02_evolution12,10000,1,0.02,-1000,0.346322,0.247797,8.00000884,6.362117878,0.247469621,0.059517532,3.062916021,12.93706605,0.999891624
Kt1e+4_Kb200_stress-1000_damage0-02_evolution12_2,10000,200,0.02,-1000,0.0704122,0.00133937,8.000289211,1.012407436,0.000588038,0.050676893,2.987352027,13.00987937,0.999541025
Kt1e+4_Kb0-4_stress-1000_damage0-02_evolution12,10000,0.4,0.02,-1000,0.37002,0.302198,8.0030203,9.55196989,0.30196524,0.0645414,3.29961398,12.7064373,0.99882531
Kt1e+4_Kb10_stress-1000_damage0-02_evolution12,10000,10,0.02,-1000,0.23267,0.0482272,8.00004809,2.297711657,0.048604177,0.04787001,2.945847464,13.05423445,0.999942162
Kt1e+4_Kb5_stress-1000_damage0-02_evolution12,10000,5,0.02,-1000,0.262363,0.0971237,8.00015815,3.100287129,0.097098501,0.023620723,2.952067338,13.04826066,0.999782724
Kt1e+4_Kb25_stress-1000_damage0-02_evolution12,10000,25,0.02,-1000,0.184036,0.0138473,8.000387373,1.604827519,0.013961725,0.073980042,2.966612865,13.03418677,0.999962288
Kt1e+4_Kb1-7_stress-1000_damage0-02_evolution12,10000,1.7,0.02,-1000,0.129997,0.0808176,8.003921351,5.011368194,0.080834111,-0.772871162,1.051894807,13.2,0.999850961
Kt1e+4_Kb3_stress-1000_damage0-02_evolution12,10000,3,0.02,-1000,0.208216,0.102912,8.000078486,3.9185162,0.103364693,-0.050092586,2.524832922,13.47685377,0.999439767
Kt1e+4_Kb500_stress-1000_damage0-02_evolution12,10000,500,0.02,-1000,0.0413837,0.000119468,7.999387308,0.973824534,0.000249486,0.029040434,3.06099216,12.92460819,0.998016443
Kt1e+4_Kb1000_stress-1000_damage0-02_evolution12,10000,1000,0.02,-1000,0.0299869,3.74E-05,8.000330524,0.895675888,0.000110982,0.021963805,2.864564287,13.10754782,0.998425672